unit_id,time_index,y_true_rul,y_pred_rul,abs_error,split,source_file
1,3818,55.0,62.78816,7.7881584,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,18818,8.0,0.21131149,7.7886887,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
1,6295,26.0,33.787968,7.7879677,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,18503,9.0,1.2110039,7.788996,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,18792,8.0,0.21223553,7.7877645,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,11005,35.0,42.78776,7.7877617,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,18801,8.0,0.21063371,7.7893662,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
1,2222,74.0,66.21289,7.7871094,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
1,6301,26.0,33.789993,7.7899933,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,17659,12.0,4.209995,7.790005,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,18830,8.0,0.21336576,7.7866344,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
1,7519,13.0,5.2094083,7.7905917,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,18492,9.0,1.2093432,7.790657,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,10982,35.0,27.20885,7.791149,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,18800,8.0,0.20884599,7.791154,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,18791,8.0,0.20861332,7.7913866,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,4060,60.0,67.785,7.7850037,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,17970,11.0,3.2152011,7.7847986,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,17170,14.0,6.2152796,7.7847204,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
1,6206,27.0,19.215368,7.7846317,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
