unit_id,time_index,y_true_rul,y_pred_rul,abs_error,split,source_file
2,10851,35.0,35.000084,8.392334e-05,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,14779,22.0,22.000294,0.0002937317,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,11734,32.0,32.000484,0.00048446655,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,4480,48.0,48.001175,0.0011749268,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,8409,3.0,2.9988062,0.0011937618,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,20218,2.0,1.9987392,0.0012607574,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,15387,20.0,19.998127,0.0018730164,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,8992,42.0,41.99809,0.0019111633,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,15345,20.0,20.002363,0.002363205,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,19999,3.0,3.0023665,0.0023665428,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,20310,2.0,1.9974424,0.0025576353,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,20002,3.0,3.0025587,0.0025587082,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,19985,3.0,3.0031211,0.0031211376,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,17893,11.0,11.004372,0.004371643,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,20058,3.0,3.0044503,0.004450321,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,8427,3.0,2.9954088,0.0045912266,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,8772,43.0,43.004787,0.004787445,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,9553,40.0,40.00483,0.0048294067,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,8496,44.0,44.005383,0.005382538,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
2,7789,47.0,46.99431,0.0056915283,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
